Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: SI-2C, Mata Kuliah: Sistem Basis Data, Dosen: Billi, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: SI-6C, Mata Kuliah: IIMK, Dosen: Apriade, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-6A, Mata Kuliah: Machine Learning, Dosen: Aries Suharso, Ruang: L3 Lab Lanjut 2 [IF]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: SI-2A, Mata Kuliah: Communication Skill, Dosen: Khusaeri, Ruang: L4 R.75 [SI]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-2B, Mata Kuliah: Bahasa Indonesia, Dosen: Dewi Herlina Sugiarti, Ruang: L4 R.75 [IF]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-4E, Mata Kuliah: Embedded Intelligent Systems, Dosen: Susilawati, Ruang: L4 R.77 [IF]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-6E, Mata Kuliah: Software Design Pattern, Dosen: Aji Primajaya, Ruang: L4 R.78 [IF]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-6A, Mata Kuliah: Software Design Pattern, Dosen: Carudin, Ruang: L4 R.79 [IF]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-6F, Mata Kuliah: Metodologi Penelitian, Dosen: Sofi Defiyanti, Ruang: L4 R.80 [IF]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-4B, Mata Kuliah: Sistem Operasi, Dosen: Adhi Rizal, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari RABU SESI 3 (12.30-15.00), Kelas: IF-6D, Mata Kuliah: Pengolahan Citra Digital, Dosen: Riza Ibnu Adam, Ruang: L3 Lab Dasar 2 [IF]
